Date,Close,High,Low,Open,Volume,Symbol
2010-01-04,23.027511596679688,23.13911475887862,22.75966287211329,22.78198407219756,38409100,MSFT
2010-01-05,23.03494453430176,23.139108688255988,22.796857472310656,22.953102993686585,49749600,MSFT
2010-01-06,22.89357566833496,23.12422227623596,22.70757001893824,22.975417189074392,58182400,MSFT
2010-01-07,22.655498504638672,22.841504234827458,22.462052374949003,22.78942143832128,50559700,MSFT
2010-01-08,22.81174659729004,22.975431157394304,22.499256859555462,22.529018462726064,51197400,MSFT
2010-01-11,22.52157020568848,22.88614120268622,22.409967070952163,22.848939211700213,68754700,MSFT
2010-01-12,22.372758865356445,22.61828626121912,22.25371536549033,22.432280615289503,65912100,MSFT
2010-01-13,22.58109664916992,22.70758060649809,22.328128734513577,22.514134470636705,51863500,MSFT
2010-01-14,23.03494453430176,23.139108688255988,22.514129440973925,22.55133001224348,63228100,MSFT
2010-01-15,22.960542678833008,23.243270701390973,22.84893813026805,23.124227174091747,79913200,MSFT
2010-01-19,23.13910675048828,23.24326947660865,22.826617153016464,22.878698516076646,46575700,MSFT
2010-01-20,22.759654998779297,23.0200632332336,22.55132812739372,22.92333948543965,54849500,MSFT
2010-01-21,22.328123092651367,22.85637856858829,22.320682694793145,22.774537030369387,73086700,MSFT
2010-01-22,21.546905517578125,22.469495291480698,21.45762355178837,22.320690123016085,102004600,MSFT
2010-01-25,21.81475067138672,22.06771856477478,21.65106614824016,21.75522889759606,63373000,MSFT
2010-01-26,21.948671340942383,22.20907958982657,21.64362212397001,21.72546508139068,66639900,MSFT
2010-01-27,22.07515335083008,22.18675647092132,21.59153888436092,21.83706631620592,63949500,MSFT
2010-01-28,21.695703506469727,22.22396040250744,21.49481702125352,22.20163920889093,117513700,MSFT
2010-01-29,20.966562271118164,22.261161744425472,20.579670083018737,22.2462809481653,193888500,MSFT
2010-02-01,21.13768196105957,21.18976331602305,20.7731110572047,21.122801168467007,85931100,MSFT
2010-02-02,21.174880981445312,21.20464256446316,20.93679399374409,21.10792025787593,54413700,MSFT
2010-02-03,21.301368713378903,21.42041364781316,20.92191839522905,21.026081116359546,61397900,MSFT
2010-02-04,20.713594436645508,21.204649360949148,20.69127324222777,21.115366002389013,77850000,MSFT
2010-02-05,20.84752082824707,21.040966941680704,20.51270997439828,20.8326400304958,80960100,MSFT
2010-02-08,20.624313354492188,20.89216204062553,20.512710208306963,20.840080667013154,52820600,MSFT
2010-02-09,20.840087890625,21.085615464981903,20.64664170793297,20.81032628446708,59195800,MSFT
2010-02-10,20.8251953125,21.01120098848065,20.71359219073375,20.85495690183004,48591300,MSFT
2010-02-11,20.921913146972656,21.130238536975288,20.609423642858427,20.78054847582067,65993700,MSFT
2010-02-12,20.78055191040039,20.87727422615769,20.520143710746925,20.69126857199244,81117200,MSFT
2010-02-16,21.19167900085449,21.20662938092838,20.945003432622183,21.02722767153514,51935600,MSFT
2010-02-17,21.37108039855957,21.415930115372504,21.199155295987666,21.32623068174664,45882900,MSFT
2010-02-18,21.65513610839844,21.699987262561525,21.311285814297737,21.37108592743469,42856500,MSFT
2010-02-19,21.5056381225586,21.617763164731244,21.445838005016697,21.52058850838088,44451800,MSFT
2010-02-22,21.475736618041992,21.63271281232461,21.41593650254081,21.55796231151133,36707100,MSFT
2010-02-23,21.17673110961914,21.55048210091192,20.997330804888232,21.438357088673463,52266200,MSFT
2010-02-24,21.40098190307617,21.52058353627452,21.214106400714968,21.31875765154516,43165900,MSFT
2010-02-25,21.378551483154297,21.41592600236269,20.94500050190293,21.131875949437944,48735300,MSFT
2010-02-26,21.430879592895508,21.56543016340968,21.31127940260441,21.41592921267244,40370600,MSFT
2010-03-01,21.69251251220703,21.714936663998326,21.32623663356156,21.50563697662788,43805400,MSFT
2010-03-02,21.273897171020508,21.90179869753693,21.10944731436004,21.73734884087646,93123900,MSFT
2010-03-03,21.273897171020508,21.38602356384197,21.19167295556343,21.31127311054309,48442100,MSFT
2010-03-04,21.40098190307617,21.41593228544433,21.131882149183955,21.27390650444068,42890600,MSFT
2010-03-05,21.37108039855957,21.43835568665237,21.2440050128006,21.423405305799125,56001800,MSFT
2010-03-08,21.40098190307617,21.62523336135777,21.303807269177,21.31875765154516,39414500,MSFT
2010-03-09,21.52806282043457,21.75978952930344,21.341187270167783,21.34866246326813,50271600,MSFT
2010-03-10,21.65513610839844,21.75978737569848,21.52806068976401,21.5729118439271,44891400,MSFT
2010-03-11,21.812110900878903,21.81958609276114,21.565435271753525,21.595334613535385,35349700,MSFT
2010-03-12,21.879383087158203,21.96160733466256,21.707457975584628,21.91675761550137,31700200,MSFT
2010-03-15,21.894332885742188,21.954132984946888,21.68503182565232,21.812107214680665,37512000,MSFT
2010-03-16,21.954137802124023,22.04383725773952,21.827062385212788,21.99151233767262,36723500,MSFT
2010-03-17,22.14848518371582,22.327886930936497,21.97656005385527,22.051310544239385,50385700,MSFT
2010-03-18,22.13353729248047,22.215761552691685,22.05131160652217,22.148486250679817,43845200,MSFT
2010-03-19,22.11858367919922,22.3503088935485,21.939183375275885,22.245659072696608,81332100,MSFT
2010-03-22,22.126054763793945,22.200805232992742,21.96907863590181,22.05130429459515,37718200,MSFT
2010-03-23,22.335363388061523,22.35031377308917,21.984037894394987,22.11858850814942,42026600,MSFT
2010-03-24,22.163434982299805,22.312935959124392,22.126060450967145,22.21575989646432,33987700,MSFT
2010-03-25,22.43253326416016,22.85113394899369,22.27555711625584,22.297982687598395,73168700,MSFT
2010-03-26,22.1709098815918,22.57456165825148,22.11858496811672,22.492335979506663,55595500,MSFT
2010-03-29,22.11858367919922,22.29050879224072,22.08868291567189,22.208283118287447,33336000,MSFT
2010-03-30,22.25312614440918,22.32040141205305,22.051300341477543,22.148474935992947,34954800,MSFT
2010-03-31,21.894332885742188,22.21575752787569,21.80463202406172,22.155957428670987,63760000,MSFT
2010-04-01,21.797163009643555,22.081214630661705,21.39351258207465,21.93918882015263,74768100,MSFT
2010-04-05,21.879383087158203,21.99898328875259,21.69998278476662,21.77473184145296,34331200,MSFT
2010-04-06,21.91676521301269,22.111115964412555,21.66261434008576,21.789689776549224,47366800,MSFT
2010-04-07,21.939186096191406,22.09616084693738,21.78220991969837,21.7971603033162,58318800,MSFT
2010-04-08,22.365259170532227,22.410108889866223,21.90180731825804,21.916757699951656,63713800,MSFT
2010-04-09,22.679214477539062,22.731539397917985,22.35031314491091,22.387689106429537,54752500,MSFT
2010-04-12,22.66426467895508,22.791340099909856,22.582038987235165,22.6119397572232,37068800,MSFT
2010-04-13,22.76144027709961,22.79881481305165,22.522238399466207,22.53718878414589,41374600,MSFT
2010-04-14,23.03801918029785,23.172569813787817,22.918418934028416,23.015595025214456,68941200,MSFT
2010-04-15,23.07538795471192,23.135188059204246,22.95578631998029,23.03801199831236,52745400,MSFT
2010-04-16,22.92588424682617,23.15760944588368,22.8735593398532,23.01558510574183,88703100,MSFT
2010-04-19,23.202465057373047,23.359439808527764,22.993163963419697,23.00063915524808,64970300,MSFT
2010-04-20,23.44165802001953,23.501458109836044,23.26973151426877,23.33700679353068,52199500,MSFT
2010-04-21,23.419239044189453,23.546314449039546,23.344488554439927,23.419239044189453,55343100,MSFT
2010-04-22,23.464080810546875,23.56873203100545,23.09780510330817,23.202456323766743,84847600,MSFT
2010-04-23,23.142667770385746,23.60611976857831,22.91094248416312,23.26226943584457,126766600,MSFT
2010-04-26,23.254785537719727,23.3818609230637,23.06791005490487,23.17255986904222,63649300,MSFT
2010-04-27,23.06043815612793,23.3594386861614,22.985687667182816,23.135188645073043,68730900,MSFT
2010-04-28,23.105287551879883,23.172562848402745,22.888512705331635,23.112762743243195,64557900,MSFT
2010-04-29,23.17255973815918,23.493985794904745,22.92588415926671,23.12023483138605,52665200,MSFT
2010-04-30,22.828706741333008,23.232356991129,22.813756362443293,23.224881801684145,63214800,MSFT
2010-05-03,23.067914962768555,23.217414525379468,22.858613864216768,22.92588916640316,43989500,MSFT
2010-05-04,22.52224540710449,22.83619645432564,22.238195138546125,22.81377229607616,82085600,MSFT
2010-05-05,22.31294059753418,22.492340951569208,22.193340361510828,22.253140479522504,66833800,MSFT
2010-05-06,21.66261100769043,22.33536262781646,20.86278397064915,22.11858775528288,128613000,MSFT
2010-05-07,21.0870304107666,21.640183136901804,20.42175409725512,21.62523275495288,173718100,MSFT
2010-05-10,21.63271141052246,22.03636180756205,21.4607848420686,21.68503632997693,86653300,MSFT
2010-05-11,21.587854385375977,22.163431194306664,21.35612919407473,21.438354859849607,63789400,MSFT
2010-05-12,22.006452560424805,22.11110235223519,21.617751296919828,21.66260100401764,47146800,MSFT
2010-05-13,21.856964111328125,22.223240017474588,21.812114378630906,21.871914497476297,45188800,MSFT
2010-05-14,21.625232696533203,21.834532340265213,21.408456436100035,21.82705857505784,63334000,MSFT
2010-05-17,21.63271141052246,21.849486280512007,21.266435548594025,21.767262018118032,46053300,MSFT
2010-05-18,21.47502326965332,21.77537295501052,21.324847710884587,21.67775984433703,52690600,MSFT
2010-05-19,21.204702377319336,21.542596581463656,20.86680960535492,21.414947819029123,61746700,MSFT
2010-05-20,20.356216430664062,20.904354694828257,20.303655423440105,20.76168808080606,87991100,MSFT
2010-05-21,20.153488159179688,20.356224783530585,19.853138400241665,19.99580364062433,117596300,MSFT
2010-05-24,19.725488662719727,20.168505073761924,19.717979740070472,20.16099615111267,73711700,MSFT
2010-05-25,19.5753116607666,19.770539339010227,19.057207492819305,19.25994409317004,98373600,MSFT
2010-05-26,18.779386520385746,19.98078697306091,18.44149215075877,19.695453631558,176684100,MSFT
2010-05-27,19.52275276184082,19.79306825837949,19.32001613943682,19.32001613943682,136433600,MSFT
2010-05-28,19.37257957458496,19.61286084146125,19.26745750495088,19.40261527001229,67496900,MSFT
2010-06-01,19.440149307250977,19.75551679990049,19.16232641621456,19.16983533653718,76152400,MSFT
2010-06-02,19.86815071105957,19.88316855395028,19.32001233517176,19.567801014147093,65718800,MSFT
2010-06-03,20.168502807617188,20.22106382807564,19.830608487269465,19.93573052818636,67837000,MSFT
2010-06-04,19.36507034301757,19.950752029421,19.23742151328184,19.59784123294251,89832200,MSFT
2010-06-07,18.98962783813477,19.395099559252014,18.95208323198854,19.38759063802277,80456200,MSFT
2010-06-08,18.85447120666504,18.967102167232355,18.509067971120857,18.959593245570485,87355000,MSFT
2010-06-09,18.614192962646484,19.162331399112595,18.58415727354564,18.937068027397693,87794000,MSFT
2010-06-10,18.771875381469727,18.884506347322457,18.60668339369775,18.86948850329398,78930900,MSFT
2010-06-11,19.267454147338867,19.312506250448145,18.59917579452585,18.801912406788404,68057700,MSFT
2010-06-14,19.14730834960937,19.49271008729314,19.12478158890736,19.417623749313258,50972400,MSFT
2010-06-15,19.95825958251953,20.01082060900595,19.3275244003214,19.335033322988107,81641500,MSFT
2010-06-16,19.76303482055664,19.958262542301444,19.69545593871495,19.875665812899204,48698000,MSFT
2010-06-17,19.800580978393555,20.02584298058644,19.55279220310904,19.94324624476464,47995500,MSFT
